time_step,time_label,p_mw,q_mvar
0,00:00,0.10,0.03
1,00:15,0.08,0.02
2,00:30,0.08,0.02
3,00:45,0.08,0.02
4,01:00,0.08,0.02
5,01:15,0.08,0.02
6,01:30,0.08,0.02
7,01:45,0.08,0.02
8,02:00,0.08,0.02
9,02:15,0.08,0.02
10,02:30,0.10,0.03
11,02:45,0.15,0.05
12,03:00,0.20,0.06
13,03:15,0.25,0.08
14,03:30,0.30,0.09
15,03:45,0.35,0.11
16,04:00,0.40,0.12
17,04:15,0.45,0.14
18,04:30,0.50,0.15
19,04:45,0.55,0.17
20,05:00,0.60,0.18
21,05:15,0.65,0.20
22,05:30,0.70,0.21
23,05:45,0.75,0.23
24,06:00,0.80,0.24
25,06:15,0.85,0.26
26,06:30,0.90,0.27
27,06:45,0.95,0.29
28,07:00,1.00,0.30
29,07:15,1.10,0.33
30,07:30,1.20,0.36
31,07:45,1.30,0.39
32,08:00,1.40,0.42
33,08:15,1.50,0.45
34,08:30,1.55,0.47
35,08:45,1.60,0.48
36,09:00,1.65,0.50
37,09:15,1.70,0.51
38,09:30,1.75,0.53
39,09:45,1.80,0.54
40,10:00,1.85,0.56
41,10:15,1.90,0.57
42,10:30,1.95,0.59
43,10:45,2.00,0.60
44,11:00,2.00,0.60
45,11:15,2.00,0.60
46,11:30,2.00,0.60
47,11:45,2.00,0.60
48,12:00,2.00,0.60
49,12:15,2.00,0.60
50,12:30,2.00,0.60
51,12:45,2.00,0.60
52,13:00,2.00,0.60
53,13:15,2.00,0.60
54,13:30,1.95,0.59
55,13:45,1.90,0.57
56,14:00,1.90,0.57
57,14:15,1.90,0.57
58,14:30,1.90,0.57
59,14:45,1.90,0.57
60,15:00,1.90,0.57
61,15:15,1.90,0.57
62,15:30,1.90,0.57
63,15:45,1.90,0.57
64,16:00,1.90,0.57
65,16:15,1.90,0.57
66,16:30,1.90,0.57
67,16:45,1.90,0.57
68,17:00,1.90,0.57
69,17:15,1.85,0.56
70,17:30,1.80,0.54
71,17:45,1.70,0.51
72,18:00,1.60,0.48
73,18:15,1.50,0.45
74,18:30,1.40,0.42
75,18:45,1.30,0.39
76,19:00,1.20,0.36
77,19:15,1.10,0.33
78,19:30,1.00,0.30
79,19:45,0.90,0.27
80,20:00,0.80,0.24
81,20:15,0.70,0.21
82,20:30,0.60,0.18
83,20:45,0.50,0.15
84,21:00,0.40,0.12
85,21:15,0.35,0.11
86,21:30,0.30,0.09
87,21:45,0.25,0.08
88,22:00,0.20,0.06
89,22:15,0.15,0.05
90,22:30,0.12,0.04
91,22:45,0.10,0.03
92,23:00,0.10,0.03
93,23:15,0.10,0.03
94,23:30,0.10,0.03
95,23:45,0.10,0.03
