time_step,time_label,p_mw,q_mvar
0,00:00,0.25,0.08
1,00:15,0.22,0.07
2,00:30,0.20,0.06
3,00:45,0.18,0.06
4,01:00,0.18,0.06
5,01:15,0.17,0.05
6,01:30,0.17,0.05
7,01:45,0.16,0.05
8,02:00,0.16,0.05
9,02:15,0.15,0.05
10,02:30,0.15,0.05
11,02:45,0.15,0.05
12,03:00,0.16,0.05
13,03:15,0.18,0.06
14,03:30,0.22,0.07
15,03:45,0.28,0.09
16,04:00,0.35,0.11
17,04:15,0.42,0.13
18,04:30,0.50,0.15
19,04:45,0.58,0.18
20,05:00,0.65,0.20
21,05:15,0.72,0.22
22,05:30,0.80,0.24
23,05:45,0.88,0.27
24,06:00,0.95,0.29
25,06:15,1.00,0.30
26,06:30,1.05,0.32
27,06:45,1.10,0.33
28,07:00,1.15,0.35
29,07:15,1.18,0.36
30,07:30,1.20,0.36
31,07:45,1.18,0.36
32,08:00,1.15,0.35
33,08:15,1.10,0.33
34,08:30,1.05,0.32
35,08:45,1.00,0.30
36,09:00,0.95,0.29
37,09:15,0.90,0.27
38,09:30,0.85,0.26
39,09:45,0.82,0.25
40,10:00,0.80,0.24
41,10:15,0.78,0.23
42,10:30,0.75,0.23
43,10:45,0.75,0.23
44,11:00,0.75,0.23
45,11:15,0.76,0.23
46,11:30,0.78,0.23
47,11:45,0.80,0.24
48,12:00,0.82,0.25
49,12:15,0.82,0.25
50,12:30,0.80,0.24
51,12:45,0.78,0.23
52,13:00,0.78,0.23
53,13:15,0.80,0.24
54,13:30,0.82,0.25
55,13:45,0.82,0.25
56,14:00,0.80,0.24
57,14:15,0.78,0.23
58,14:30,0.78,0.23
59,14:45,0.80,0.24
60,15:00,0.85,0.26
61,15:15,0.90,0.27
62,15:30,0.95,0.29
63,15:45,1.00,0.30
64,16:00,1.05,0.32
65,16:15,1.10,0.33
66,16:30,1.15,0.35
67,16:45,1.18,0.36
68,17:00,1.20,0.36
69,17:15,1.22,0.37
70,17:30,1.25,0.38
71,17:45,1.28,0.39
72,18:00,1.30,0.39
73,18:15,1.28,0.39
74,18:30,1.25,0.38
75,18:45,1.20,0.36
76,19:00,1.15,0.35
77,19:15,1.10,0.33
78,19:30,1.05,0.32
79,19:45,1.00,0.30
80,20:00,0.95,0.29
81,20:15,0.90,0.27
82,20:30,0.85,0.26
83,20:45,0.80,0.24
84,21:00,0.70,0.21
85,21:15,0.60,0.18
86,21:30,0.50,0.15
87,21:45,0.42,0.13
88,22:00,0.35,0.11
89,22:15,0.32,0.10
90,22:30,0.30,0.09
91,22:45,0.28,0.09
92,23:00,0.27,0.09
93,23:15,0.26,0.08
94,23:30,0.25,0.08
95,23:45,0.25,0.08
