time_step,time_label,p_mw
0,00:00,0.000
1,00:15,0.000
2,00:30,0.000
3,00:45,0.000
4,01:00,0.000
5,01:15,0.000
6,01:30,0.000
7,01:45,0.000
8,02:00,0.000
9,02:15,0.000
10,02:30,0.000
11,02:45,0.000
12,03:00,0.000
13,03:15,0.000
14,03:30,0.000
15,03:45,0.000
16,04:00,0.000
17,04:15,0.000
18,04:30,0.000
19,04:45,0.000
20,05:00,0.000
21,05:15,0.000
22,05:30,0.000
23,05:45,0.000
24,06:00,0.005
25,06:15,0.015
26,06:30,0.030
27,06:45,0.050
28,07:00,0.080
29,07:15,0.120
30,07:30,0.170
31,07:45,0.230
32,08:00,0.300
33,08:15,0.380
34,08:30,0.460
35,08:45,0.540
36,09:00,0.620
37,09:15,0.690
38,09:30,0.750
39,09:45,0.800
40,10:00,0.840
41,10:15,0.870
42,10:30,0.890
43,10:45,0.900
44,11:00,0.910
45,11:15,0.910
46,11:30,0.900
47,11:45,0.880
48,12:00,0.850
49,12:15,0.810
50,12:30,0.760
51,12:45,0.700
52,13:00,0.630
53,13:15,0.550
54,13:30,0.460
55,13:45,0.360
56,14:00,0.250
57,14:15,0.130
58,14:30,0.040
59,14:45,0.005
60,15:00,0.000
61,15:15,0.000
62,15:30,0.000
63,15:45,0.000
64,16:00,0.000
65,16:15,0.000
66,16:30,0.000
67,16:45,0.000
68,17:00,0.000
69,17:15,0.000
70,17:30,0.000
71,17:45,0.000
72,18:00,0.000
73,18:15,0.000
74,18:30,0.000
75,18:45,0.000
76,19:00,0.000
77,19:15,0.000
78,19:30,0.000
79,19:45,0.000
80,20:00,0.000
81,20:15,0.000
82,20:30,0.000
83,20:45,0.000
84,21:00,0.000
85,21:15,0.000
86,21:30,0.000
87,21:45,0.000
88,22:00,0.000
89,22:15,0.000
90,22:30,0.000
91,22:45,0.000
92,23:00,0.000
93,23:15,0.000
94,23:30,0.000
95,23:45,0.000
